Timestamp,Gig Name,URL,Contact Person or URL,Performers,Area,Day of Week,Frequency,Active,Location,Notes,Performer Sign-up
9/18/2017 12:48:30,Raw,http://www.comedy.co.nz/comedy-guide/shows/raw/,Scott Blanks,Open Mic,Auckland,Monday,Weekly,Yes,"Classic, Queen Street",Moves to Saturday Night 10 PM during January and Early February,
9/18/2017 12:55:13,Fresh Comedy at Revelry,https://www.facebook.com/RevelryComedy/,Popupcomedynz@gmail.com,Open Mic,Auckland,Wednesday,Weekly,Yes,"Revelry Bar, Ponsonby Road",,https://www.facebook.com/groups/126473598035311/
9/18/2017 14:49:23,Pop Up Comedy,https://www.facebook.com/PopUpComedyNZ/,Popupcomedynz@gmail.com,Pro with open spots,Auckland,Sunday,Weekly,Yes,"George Bar, Ponsonby Road",,https://www.facebook.com/groups/126473598035311/
9/18/2017 14:53:00,Gong,https://www.facebook.com/brainsexunlimited/,Peter Larsen,Open with non-comedy acts,Auckland,Thursday,"Twice Monthly, First, Third",Yes,"Thirsty Dog, Karangahape Road",,
9/18/2017 15:01:57,Breaking Boundaries Queer Open Mic,https://www.facebook.com/brkbnd/,Message the page,Open with non-comedy acts,Auckland,Varies,Monthly,Yes,"Grid Akl, Pakenham St West",All performers are expected to be somewhere in the LGBTIQaAaP+. Unsure as to event frequency. ,
9/18/2017 15:11:05,Open Mic Comedy at Lucky Finns,https://www.facebook.com/Luckyfinnscomedy/,Daniel Roling,Open Mic,Hamilton,Wednesday,"Monthly, First",Yes,"Lucky Finns, Hood Street",,
9/18/2017 15:18:57,Nivara Lounge Comedy Workshop,https://www.facebook.com/The-Nivara-Lounge-Comedy-Workshop-151889778687884/,Message the page,Open Mic,Hamilton,Wednesday,"Monthly,  Third",Yes,"Nivara Lounge, Victoria Street",Organised by Dan Sage. The bar is in the basement and nicely set up area for performing.,
9/18/2017 16:27:52,Dank Comedy Show,https://www.facebook.com/dankcomedyshow/,Joel Wood,Pro,Wellington,Friday,"Monthly, Third",Yes,Wellington,best show wellington comedy awards 2016,
9/19/2017 12:43:06,Hard Cases ,https://www.facebook.com/capitalcomedywellington/,https://www.facebook.com/capitalcomedywellington/,Open Mic,Wellington,Thursday,Fortnightly,Yes,Cavern Club,Sign up on the night - sign up at 6.45pm - don't be late!,
9/19/2017 12:45:34,Blindset,https://www.facebook.com/capitalcomedywellington/,Julz Burgisser ,Pro,Wellington,Friday,"Monthly, First",Yes,Cavern Club,,
9/22/2017 10:44:09,Talk Show And Tell,https://facebook.com/TalkShowAndTell/#!/TalkShowAndTell/,Paul Amos,Pro,Auckland,Wednesday,"Monthly, First",Yes,"Golden Dawn, Ponsonby",Comedy line up show with late night talk show bits inbetween acts. ,
9/22/2017 10:48:10,Down To Clown,https://www.facebook.com/DownToClownComedy/#!/DownToClownComedy/,The DTC Massive,Pro,Auckland,Friday,Weekly,Yes,Basement Theatre,,
9/22/2017 10:51:09,Snort,https://facebook.com/Snortimprov/,Message the page,Pro,Auckland,Friday,Weekly,Yes,Basement Theatre,Improv,
9/23/2017 18:50:35,The Royal Rumble,https://www.comedyhubpalmy.com/the-royal-rumble-open-mic-night,Dylan Satherley,Open Mic,Palmerston North/ Manawatu,Thursday,Fortnightly,Yes,"The Royal Hotel, Palmerston North",Paid MC position,
9/23/2017 18:52:42,Parbaked LOL's,https://www.comedyhubpalmy.com/parbaked-lol-s,Ben Caldwell (Tito),Open Mic,Palmerston North/ Manawatu,Friday,Quarterly,Yes,"The Dark Room, Palmerston North",Paid MC position.,
